Plant,States Delivered
Hoskote Plant,"Andaman & Nicobar, Andhra Pradesh, Karnataka, Kerala, Pondicherry, Tamil Nadu, Telangana"
Dora Plant,"Andaman & Nicobar, Bhutan, Chhattisgarh, Daman & Diu, Goa, Gujarat, Karnataka, Kerala, Madhya Pradesh, Nepal, Maharashtra, Tamil Nadu, Telangana"
West Zone,"Andaman & Nicobar, Andhra Pradesh, Assam, Arunachal Pradesh, Bihar, Bhutan, Chandigarh, Chhattisgarh, Daman & Diu, Delhi, Goa, Gujarat, Haryana, Himachal Pradesh, Jammu & Kashmir, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Mahe, Manipur, Meghalaya, Mizoram, Myanmar, Nagaland, Nepal, Maharashtra, Pondicherry, Odisha, Punjab, Rajasthan, Tamil Nadu, Telangana, Tripura, Uttar Pradesh, Uttarakhand, West Bengal"
Sikandrabad Plant,"Andaman & Nicobar, Andhra Pradesh, Assam, Arunachal Pradesh, Bihar, Bhutan, Chandigarh, Chhattisgarh, Delhi, Haryana, Himachal Pradesh, Jammu & Kashmir, Jharkhand, Madhya Pradesh, Mahe, Manipur, Meghalaya, Mizoram, Myanmar, Nagaland, Nepal, Odisha, Punjab, Rajasthan, Uttar Pradesh, Uttarakhand, West Bengal"
